bps_kode_provinsi;bps_nama_provinsi;tahun;periode_bulan;jumlah_penduduk_miskin;satuan
62;Kalimantan Tengah;2023;Maret;142.17;Ribu Jiwa
63;Kalimantan Selatan;2023;Maret;188.93;Ribu Jiwa
64;Kalimantan Timur;2023;Maret;231.07;Ribu Jiwa
65;Kalimantan Utara;2023;Maret;47.97;Ribu Jiwa
71;Sulawesi Utara;2023;Maret;189;Ribu Jiwa
72;Sulawesi Tengah;2023;Maret;395.66;Ribu Jiwa
73;Sulawesi Selatan;2023;Maret;788.85;Ribu Jiwa
74;Sulawesi Tenggara;2023;Maret;321.53;Ribu Jiwa
75;Gorontalo;2023;Maret;183.71;Ribu Jiwa
76;Sulawesi Barat;2023;Maret;164.14;Ribu Jiwa
81;Maluku;2023;Maret;301.61;Ribu Jiwa
82;Maluku Utara;2023;Maret;83.8;Ribu Jiwa
91;Papua Barat;2023;Maret;214.98;Ribu Jiwa
94;Papua;2023;Maret;915.15;Ribu Jiwa
11;Aceh;2024;Maret;804.53;Ribu Jiwa
12;Sumatera Utara;2024;Maret;1228.01;Ribu Jiwa
13;Sumatera Barat;2024;Maret;345.73;Ribu Jiwa
14;Riau;2024;Maret;492.25;Ribu Jiwa
15;Jambi;2024;Maret;265.42;Ribu Jiwa
16;Sumatera Selatan;2024;Maret;984.24;Ribu Jiwa
17;Bengkulu;2024;Maret;281.36;Ribu Jiwa
18;Lampung;2024;Maret;941.23;Ribu Jiwa
19;Kepulauan Bangka Belitung;2024;Maret;69.95;Ribu Jiwa
21;Kepulauan Riau;2024;Maret;138.3;Ribu Jiwa
31;DKI Jakarta;2024;Maret;464.93;Ribu Jiwa
32;Jawa Barat;2024;Maret;3848.67;Ribu Jiwa
33;Jawa Tengah;2024;Maret;3704.33;Ribu Jiwa
34;DI Yogyakarta;2024;Maret;445.55;Ribu Jiwa
35;Jawa Timur;2024;Maret;3982.69;Ribu Jiwa
36;Banten;2024;Maret;791.61;Ribu Jiwa
51;Bali;2024;Maret;184.43;Ribu Jiwa
52;Nusa Tenggara Barat;2024;Maret;709.01;Ribu Jiwa
53;Nusa Tenggara Timur;2024;Maret;1127.57;Ribu Jiwa
61;Kalimantan Barat;2024;Maret;336.08;Ribu Jiwa
62;Kalimantan Tengah;2024;Maret;145.63;Ribu Jiwa
63;Kalimantan Selatan;2024;Maret;183.31;Ribu Jiwa
64;Kalimantan Timur;2024;Maret;221.34;Ribu Jiwa
65;Kalimantan Utara;2024;Maret;47.83;Ribu Jiwa
71;Sulawesi Utara;2024;Maret;186.85;Ribu Jiwa
72;Sulawesi Tengah;2024;Maret;379.76;Ribu Jiwa
73;Sulawesi Selatan;2024;Maret;736.48;Ribu Jiwa
74;Sulawesi Tenggara;2024;Maret;319.71;Ribu Jiwa
75;Gorontalo;2024;Maret;177.99;Ribu Jiwa
76;Sulawesi Barat;2024;Maret;162.19;Ribu Jiwa
81;Maluku;2024;Maret;297.68;Ribu Jiwa
82;Maluku Utara;2024;Maret;83.09;Ribu Jiwa
91;Papua Barat;2024;Maret;110.16;Ribu Jiwa
94;Papua;2024;Maret;102.27;Ribu Jiwa
;Papua Barat Daya;2024;Maret;152.91;Ribu Jiwa
;Papua Selatan;2024;Maret;92.2;Ribu Jiwa
;Papua Tengah;2024;Maret;308.48;Ribu Jiwa
;Papua Pegunungan ;2024;Maret;365.43;Ribu Jiwa
